web-scraper-order,web-scraper-start-url,link,link-href,brand,product_name,category,price,rating,number_of_reviews,number_of_recommendations,repurchase_yes,repurchase_no,repurchase_maybe,repurchase_yes_num,repurchase_no_num,rating_imputed_mean,rating_imputed_median,number_of_recommendations_imputed_mean,number_of_recommendations_imputed_median,repurchase_yes_num_imputed_mean,repurchase_yes_num_imputed_median,repurchase_no_num_imputed_mean,repurchase_no_num_imputed_median
1639358774-1925,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/face-primer/25887-healthy-mix-primer-universal-shade,Bourjois,Healthy Mix Primer Universal Shade,Healthy Mix Primer Universal Shade,Rp 174.000,4.8,(3),3.0,Yes (3),No (0),Maybe (0),3.0,0.0,4.8,4.6,3.0,3.0,3.0,3.0,0.0,0.0
1639358207-1838,https://www.sociolla.com/146-face?page=25,,https://www.sociolla.com/loose-powder/10681-shimmering-powder,Make Over,Shimmering Powder,Shimmering Powder,,4.5,(41),38.0,Yes (26),No (1),Maybe (14),26.0,1.0,4.5,4.5,38.0,38.0,26.0,26.0,1.0,1.0
1639359691-2064,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/compact-powder/5098-infallible-pro-matte-powder,Loreal Paris,Infallible Pro-Matte Powder,Infallible Pro-Matte Powder,Rp 209.000Rp 160.930,4.4,(409),386.0,Yes (266),No (35),Maybe (108),266.0,35.0,4.4,4.4,386.0,228.0,266.0,115.0,35.0,17.0
1639359428-2026,https://www.sociolla.com/146-face?page=12,,https://www.sociolla.com/blush/56487-crystallure-precious-lustre-prism-blush,Wardah,Crystallure Precious Lustre Prism Blush,Crystallure Precious Lustre Prism Blush,Rp 126.500,5.0,(11),9.0,Yes (7),No (0),Maybe (4),7.0,0.0,5.0,4.6,9.0,9.0,7.0,7.0,0.0,0.0
1639359330-2015,https://www.sociolla.com/146-face?page=13,,https://www.sociolla.com/blush/7642-dandelion-powder-mini-blush-,Benefit Cosmetics,Dandelion Powder Mini blush,Dandelion Powder Mini blush,Rp 290.000,4.2,(95),85.0,Yes (45),No (19),Maybe (31),45.0,19.0,4.2,4.2,85.0,85.0,45.0,45.0,19.0,17.0
1639358875-1943,https://www.sociolla.com/146-face?page=18,,https://www.sociolla.com/bb-cc-cream/58300-lng-neo-cushion-glow-no-25n-tan-ol21,Laneige,LNG Neo Cushion-Glow No.25N Tan (OL21),LNG Neo Cushion-Glow No.25N Tan (OL21),Rp 751.000Rp 472.000,,,,,,,,,4.462214983713356,4.5,213.94193548387096,21.5,87.42948717948718,13.5,23.272435897435898,2.0
1639358819-1933,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/bb-cc-cream/58303-lng-neo-cushion-matte-no-31n-brown-ol21,Laneige,LNG Neo Cushion-Glow No.31N Brown(OL21),LNG Neo Cushion-Glow No.31N Brown(OL21),Rp 751.000Rp 472.000,5.0,(3),3.0,Yes (2),No (0),Maybe (1),2.0,0.0,5.0,4.6,3.0,3.0,2.0,2.0,0.0,0.0
1639359043-1969,https://www.sociolla.com/146-face?page=17,,https://www.sociolla.com/blush/59809-colorland-explorer-colorland-focus-on-me-blush,YOU Makeups,Colorland Explorer Colorland Focus On Me Blush,Colorland Explorer Colorland Focus On Me Blush,Rp 58.000,4.0,(1),1.0,Yes (0),No (1),Maybe (0),0.0,1.0,4.0,4.2,1.0,2.0,0.0,1.0,1.0,1.0
1639358583-1893,https://www.sociolla.com/146-face?page=21,,https://www.sociolla.com/blush/13880-cheek-stain,BLP Beauty,Cheek Stain,Cheek Stain,Rp 129.000,4.5,(395),372.0,Yes (276),No (22),Maybe (97),276.0,22.0,4.5,4.5,372.0,228.0,276.0,115.0,22.0,17.0
1639358527-1883,https://www.sociolla.com/146-face?page=22,,https://www.sociolla.com/liquid-foundation/12384-banila-co-prime-primer-fitting-foundation,banila co.,Banila Co Prime Primer Fitting Foundation,Banila Co Prime Primer Fitting Foundation,Rp 450.000,3.5,(2),1.0,Yes (1),No (1),Maybe (0),1.0,1.0,3.5,4.2,1.0,2.0,1.0,1.0,1.0,1.0
1639360232-2135,https://www.sociolla.com/146-face?page=4,,https://www.sociolla.com/bb-cc-cream/25111-bb-femme-foundation-liquid,Madame Gie,BB Femme Foundation Liquid,BB Femme Foundation Liquid,Rp 54.100Rp 35.165,4.3,(66),58.0,Yes (33),No (7),Maybe (26),33.0,7.0,4.3,4.3,58.0,58.0,33.0,33.0,7.0,7.0
1639359605-2054,https://www.sociolla.com/146-face?page=10,,https://www.sociolla.com/liquid-foundation/13921-pro-coverage-hd-foundation,LA GIRL,Pro Coverage Hd Foundation,Pro Coverage Hd Foundation,Rp 280.000Rp 196.000,4.4,(36),33.0,Yes (23),No (6),Maybe (7),23.0,6.0,4.4,4.4,33.0,33.0,23.0,23.0,6.0,6.0
1639358281-1849,https://www.sociolla.com/146-face?page=24,,https://www.sociolla.com/compact-powder/53983-the-simplicity-flawless-skin-two-way-cake,YOU Makeups,The Simplicity Flawless Skin Two Way Cake,The Simplicity Flawless Skin Two Way Cake,Rp 65.000Rp 55.250,4.3,(9),8.0,Yes (6),No (0),Maybe (3),6.0,0.0,4.3,4.3,8.0,8.0,6.0,6.0,0.0,0.0
1639358440-1869,https://www.sociolla.com/146-face?page=23,,https://www.sociolla.com/cake-foundation/9393-acne-care-loose-foundation,Mineral Botanica,Acne Care Loose Foundation,Acne Care Loose Foundation,Rp 77.900Rp 54.530,4.5,(52),42.0,Yes (35),No (5),Maybe (12),35.0,5.0,4.5,4.5,42.0,42.0,35.0,35.0,5.0,5.0
1639358807-1931,https://www.sociolla.com/146-face?page=19,,https://www.sociolla.com/liquid-foundation/25849-foundation-city-radiance-anti-grise-mine,Bourjois,Foundation City Radiance Anti Grise Mine,Foundation City Radiance Anti Grise Mine,Rp 294.000,5.0,(1),1.0,Yes (1),No (0),Maybe (0),1.0,0.0,5.0,4.6,1.0,2.0,1.0,1.0,0.0,0.0
1639360062-2112,https://www.sociolla.com/146-face?page=6,,https://www.sociolla.com/compact-powder/16783-the-realest-lightweight-compact-powder,Rose All Day,The Realest Lightweight Compact Powder,The Realest Lightweight Compact Powder,Rp 175.000,4.5,(508),467.0,Yes (380),No (19),Maybe (109),380.0,19.0,4.5,4.5,467.0,228.0,380.0,115.0,19.0,17.0
